sku,name,Products_type
C-B6039C,"Blush - Compact - Caarmel Bliss S",simple
C-B6040C,"Blush - Compact - Touch of Spice M",simple
C-B6041C,"Blush - Compact - Cinnamon Toast M",simple
C-B6042C,"Blush - Compact - Dusty Rose M",simple
C-B6043C,"Blush - Compact - Blossom M",simple
C-B6044C,"Blush - Compact - Sizzled Red M",simple
C-B6045C,"Blush - Compact - Magical Pink M",simple
C-B6046C,"Blush - Compact - Warm Rose M",simple
C-B6047C,"Blush - Compact - Sex On the Beach M",simple
C-B6049C,"Blush - Compact - Ice Tea M",simple
C-B6050C,"Blush - Compact - Rouge Rose M",simple
C-B6051C,"Blush - Compact - Warm Earth M",simple
C-B6053C,"Blush - Compact - Rose Petal M",simple
C-B6054C,"Blush - Compact - Earth M",simple
C-B6055C,"Blush - Compact - Peachy Penny M",simple
C-B6058C,"Blush - Compact - Nudeness M",simple
C-B6072C,"Blush - Compact - Pinky Rose M",simple
C-B6073C,"Blush - Compact - Champagne Hilighter",simple
C-B6074C,"Blush - Compact - Burgandy Wine M",simple
blush_refill_color,"Blush - Refill",configurable
C-B6000R,"Blush - Refill Soft Contour M",simple
C-B6001R,"Blush - Refill - Contour M",simple
C-B6002R,"Blush - Refill - Off White Madness M",simple
C-B6006R,"Blush - Refill - Desert Brown M",simple
C-B6007R,"Blush - Refill - Creamy Peach M",simple
C-B6008R,"Blush - Refill - Pleasantly Fresh M",simple
C-B6009R,"Blush - Refill - Passion Peach M",simple
C-B6010R,"Blush - Refill - Sandy Pearl M",simple
C-B6011R,"Blush - Refill - Golden Brown M",simple
C-B6012R,"Blush - Refill - Hint of Color S",simple
C-B6013R,"Blush - Refill - Coral Silk M",simple
C-B6014R,"Blush - Refill - Sunset S",simple
C-B6015R,"Blush - Refill - Peach M",simple
C-B6016R,"Blush - Refill - Peachy Keen S",simple
C-B6017R,"Blush - Refill - Utopia Orange S",simple
C-B6019R,"Blush - Refill - Sweet Kiss M",simple
C-B6020R,"Blush - Refill - Coral M",simple
C-B6021R,"Blush - Refill - Melon S",simple
C-B6022R,"Blush - Refill - Autumn M",simple
C-B6024R,"Blush - Refill - Fantastic Rose M",simple
C-B6025R,"Blush - Refill - Shimmering Pink G",simple
C-B6026R,"Blush - Refill - Rosey M",simple
C-B6027R,"Blush - Refill - Burgandy Flame S",simple
C-B6028R,"Blush - Refill - Powder Pink M",simple
C-B6030R,"Blush - Refill - Dark Pink M",simple
C-B6031R,"Blush - Refill - Magical Magenta M",simple
C-B6032R,"Blush - Refill - Deep Mario M",simple
C-B6033R,"Blush - Refill - Mauve M",simple
C-B6034R,"Blush - Refill - Parfait Purple M",simple
C-B6035R,"Blush - Refill - Radical Violet M",simple
C-B6037R,"Blush - Refill - Mocha M",simple
C-B6038R,"Blush - Refill - Coral Kiss S",simple
C-B6039R,"Blush - Refill - Caarmel Bliss S",simple
C-B6040R,"Blush - Refill - Touch of Spice M",simple
C-B6041R,"Blush - Refill - Cinnamon Toast M",simple
C-B6042R,"Blush - Refill - Dusty Rose M",simple
C-B6043R,"Blush - Refill - Blossom M",simple
C-B6044R,"Blush - Refill - Sizzled Red M",simple
C-B6045R,"Blush - Refill - Magical Pink M",simple
C-B6046R,"Blush - Refill - Warm Rose M",simple
C-B6047R,"Blush - Refill - Sex On the Beach M",simple
C-B6049R,"Blush - Refill - Ice Tea M",simple
C-B6050R,"Blush - Refill - Rouge Rose M",simple
C-B6051R,"Blush - Refill - Warm Earth M",simple
C-B6053R,"Blush - Refill - Rose Petal M",simple
C-B6054R,"Blush - Refill - Earth M",simple
C-B6055R,"Blush - Refill - Peachy Penny M",simple
C-B6058R,"Blush - Refill - Nudeness M",simple
C-B6072R,"Blush - Refill - Pinky Rose M",simple
C-B6073R,"Blush - Refill - Champagne Hilighter",simple
C-B6074R,"Blush - Refill - Burgandy Wine M",simple
Brow-Pencil,"Brow Pencil",configurable
C-EB102,"EB102 Brow Pencil Blonde",simple
C-EB109,"EB109 Brow Pencil Dark",simple
C-EB110,"EB110 Brow Pencil Grey",simple
browfix_color,"Brow Fix",configurable
C-BF50S,"Brow Fixx 50 Shades",simple
C-BFAIO,"Brow Fixx All in One",simple
C-BFB,"Brow Fixx Black",simple
C-BFBR,"Brow Fixx Brown",simple
C-BFDC,"Brow Fixx Dark Chocolate",simple
C-BFM,"Brow Fix Midnight Sky",simple
browfix_color-1,"DEMO PRODUCT",configurable
C-BF50S,"Brow Fixx 50 Shades",simple
C-BFAIO,"Brow Fixx All in One",simple
C-BFB,"Brow Fixx Black",simple
C-BFBR,"Brow Fixx Brown",simple
C-BFDC,"Brow Fixx Dark Chocolate",simple
C-BFM,"Brow Fix Midnight Sky",simple
browfix_color-1-1,"DEMO PRODUCT 2",configurable
C-BF50S,"Brow Fixx 50 Shades",simple
C-BFAIO,"Brow Fixx All in One",simple
C-BFB,"Brow Fixx Black",simple
C-BFBR,"Brow Fixx Brown",simple
C-BFDC,"Brow Fixx Dark Chocolate",simple
C-BFM,"Brow Fix Midnight Sky",simple
compact_bronzer_color,"Compact Bronzer",configurable
C-B191C,"Compact - B191 PPowder Bronzer 191",simple
C-B193C,"Compact - B193 PPowder Bronzer 193",simple
C-B194C,"Compact - Bronzer 194 - 10g",simple
C-B20C,"Compact - B20 PPowder Bronzer 20",simple
C-DBDC,"Compact - Duo Bronzer Dark Half Moon",simple
C-DBLC,"Compact - Duo Bronzer Light Half Moon",simple
con_stick,"Con Stick",configurable
C-CS300,"Con Stick Extra Light Porcelain",simple
C-CS301,"Con Stick Light Porcelain",simple
C-CS302,"Corrector Stick Porcelain",simple
C-CS303,"Con Stick Medium Beige",simple
C-CS304,"Con Stick Dark Tan",simple
C-CS305,"Con Stick Mocha",simple
C-CS306,"Con Stick Ebony",simple
C-CS307,"Con Stick Caramel",simple
C-CS308,"Con Stick Coffee Bean",simple
C-CS309,"Con Stick Amber",simple
C-CS310,"Con Stick Congac",simple
C-CS311,"Con Stick Medium Light Porcelain",simple
C-CS312,"Con Stick Medium Porcelian",simple
C-CS350,"Con Stick Light Ivory",simple
C-CS351,"Con Stick Ivory",simple
C-CS352,"Con Stick Medium Ivory",simple
C-CS353,"Con Stick Medium Tan",simple
C-CS354,"Con Stick Tan",simple
C-CS355,"Con Stick Almond",simple
C-CS356,"Con Stick Golden Honey",simple
C-CS357,"Con Stick Honey Chestnut",simple
C-CSL,"Con Stick Lilac",simple
concealer_pot,"Concealer Pot",configurable
C-CP700,"Concealer Pot C700 Extra Light Porcelain",simple
C-CP701,"Concealer Pot C701 Light Porcelain",simple
C-CP702,"Concealer Pot C702 Porcelain",simple
C-CP703,"Concealer Pot C703 Medium Beige",simple
C-CP704,"Concealer Pot C704 Dark Tan",simple
C-CP705,"Concealer Pot C705 Mocha",simple
C-CP706,"Concealer Pot C706 Ebony",simple
C-CP707,"Concealer Pot C707 Caramel",simple
C-CP708,"Concealer Pot C708 Coffee Bean",simple
C-CP709,"Concealer Pot C709 Amber",simple
C-CP710,"Concealer Pot C710 Cognac",simple
C-CP711,"Concealer Pot C711 Medium Light Porcelain",simple
C-CP712,"Concealer Pot C712 Medium Porcelain",simple
C-CP750,"Concealer Pot C750 Light Ivory",simple
C-CP751,"Concealer Pot C751 Ivory",simple
C-CP752,"Concealer Pot C752 Medium Ivory",simple
C-CP753,"Concealer Pot C753 Medium Tan",simple
C-CP754,"Concealer Pot C754 Tan",simple
C-CP755,"Concealer Pot C755 Almond",simple
C-CP756,"Concealer Pot C756 Golden Honey",simple
C-CP757,"Concealer Pot C757 Honey Chesnut",simple
Concealer_Pot_Refill,"Concealer Pot Refill",configurable
C-CP700R,"Refill - C700 Concealer Pot Extra Light Porcelain",simple
C-CP701R,"Refill - C701 Concealer Pot Light Porcelain",simple
C-CP702R,"Refill - C702 Concealer Pot Porcelain",simple
C-CP703R,"Refill - C703 Concealer Pot Medium Beige",simple
C-CP704R,"Refill - C704 Concealer Pot Dark Tan",simple
C-CP705R,"Refill - C705 Concealer Pot Mocha",simple
C-CP706R,"Refill - C706 Concealer Pot Ebony",simple
C-CP707R,"Refill - C707 Concealer Pot Caramel",simple
C-CP708R,"Refill - C708 Concealer Pot Coffee Bean",simple
C-CP709R,"Refill - C709 Concealer Pot Amber",simple
C-CP750R,"Refill - C750 Concealer Pot Light Ivory",simple
C-CP751R,"Refill - C751 Concealer Pot Ivory",simple
C-CP752R,"Refill - C752 Concealer Pot Medium Ivory",simple
C-CP754R,"Refill - C754 Concealer Pot Tan",simple
C-CP755R,"Refill - C755 Concealer Pot Almond",simple
C-CP756R,"Refill - C756 Concealer Pot Golden Honey",simple
C-CP757R,"Refill - C757 Concealer Pot Honey Chesnut",simple
Eye-Pencil,"Eye Pencil",configurable
C-E103,"E103 Eye Pencil Expresso",simple
C-E104,"E104 Eye Pencil Midnight Blue",simple
C-E105,"E105 Eye Pencil Taupe",simple
C-E106,"E106 Eye Pencil White",simple
C-E107,"E107 Eye Pencil 24KT",simple
C-E108,"E108 Eye Pencil Babe",simple
C-E111,"E111 Eye Pencil Brown",simple
C-E112,"E112 Eye Pencil Forest",simple
C-E113,"E113 Eye Pencil Fur",simple
C-E114,"E114 Eye Pencil Leaf",simple
C-E115,"E115 Eye Pencil Stone",simple
C-E116,"E116 Eye Pencil Velours",simple
C-E92,"E92 Eye Pencil Black",simple
C-E93,"E93 Eye Pencil Dark Brown",simple
C-E94,"E94 Eye Pencil Emerald",simple
C-E96,"E96 Eye Pencil Grape",simple
C-E98,"E98 Eye Pencil Naked",simple
eyeshadow_color,"Eye Shadow Refill",configurable
C-ES7001R,"Matte White - Refill (M)",simple
C-ES7002R,"Tin Man - Pearl - Refill (P)",simple
C-ES7011R,"Taupe - Pearl - Refill",simple
C-ES7013R,"Teakwood - Frost - Refill",simple
C-ES7015R,"Portobello - Matte - Refill",simple
C-ES7021R,"Glimmer - Pearl - Refill",simple
C-ES7023R,"Mahogany - Matte - Refill",simple
C-ES7025R,"Au de Natural - Matte - Refill",simple
C-ES7029R,"Sienna - Matte - Refill",simple
C-ES7030R,"Cool Sand - Pearl - Refill",simple
C-ES7033R,"Coyote - Pearl - Refill",simple
C-ES7034R,"Brown - Pearl - Refill",simple
C-ES7036R,"Vanilla Matte - Refill",simple
C-ES7038R,"Gold Pearl - Pearl - Refill",simple
C-ES7040R,"Gold - Pearl - Refill",simple
C-ES7041R,"Canary Yellow - Matte - Refill",simple
C-ES7042R,"Mango - Matte - Refill",simple
C-ES7043R,"Sunny Orange - Pearl - Refill",simple
C-ES7044R,"Palest Peach - Pearl - Refill",simple
C-ES7045R,"Spring Peach - Matte - Refill",simple
C-ES7048R,"Silky Coral - Matte - Refill",simple
C-ES7050R,"Orange - Matte - Refill",simple
C-ES7051R,"Cranberry - Pearl - Refill",simple
C-ES7052R,"Sunset Rose - Matte - Refill",simple
C-ES7053R,"Passion - Matte - Refill",simple
C-ES7054R,"Hot Red - Matte - Refill",simple
C-ES7055R,"Rich Mahogany - Refill",simple
C-ES7058R,"Radical Pink - Refill",simple
C-ES7059R,"Deep Pink - Matte - Refill",simple
C-ES7061R,"Dubonnet - Matte - Refill",simple
C-ES7065R,"Pale Pink - Matte - Refill",simple
C-ES7068R,"Bittersweet Purple - Refill",simple
C-ES7069R,"Butterfly Orchid - Refill",simple
C-ES7070R,"Bellflower Purple Refill",simple
C-ES7071R,"Powder Purple - Refill",simple
C-ES7072R,"Purple Orchid - Refill",simple
C-ES7073R,"Smokey Purple - Refill",simple
C-ES7078R,"Deep French Blue - Refill",simple
C-ES7081R,"Ocean Blue - Refill",simple
C-ES7084R,"Vibrant Blue - Refill",simple
C-ES7088R,"Soft Aqua - Frost - Refill",simple
C-ES7089R,"Forest - Pearl - Refill",simple
C-ES7090R,"Parrot - Frost - Refill",simple
C-ES7091R,"Jade - Pearl - Refill",simple
C-ES7092R,"Emerald Fantasy - Refill",simple
C-ES7094R,"Satan Green - Refill",simple
C-ES7095R,"Ireland - Frost - Refill",simple
C-ES7096R,"Lemon - Matte - Refill",simple
C-ES7099R,"Sage - Matte - Refill",simple
C-ES7101R,"Dove - Matte - Refill",simple
C-ES7103R,"Regal Matte - Refill",simple
C-ES7107R,"Baby Pink - Refill",simple
C-ES7201R,"White Frost - Refill",simple
C-ES7202R,"Graphite - Pearl - Refill",simple
C-ES7203R,"Virgin - Refill",simple
C-ES7204R,"Butter Cup - Refill",simple
C-ES7205R,"Atlantis Blue - Refill",simple
C-ES7206R,"Midnight Blue - Refill",simple
C-ES7207R,"Day Light - Refill",simple
C-ES7208R,"Slab - Matte - Refill",simple
C-ES7209R,"Chocolate Satin - Refill",simple
C-ES7211R,"Gold Nugget - Refill",simple
C-ES7212R,"Rose Gold - Refill",simple
C-ES7213R,"Cognac - Refill",simple
C-ES7214R,"Half Baked - Refill",simple
C-ES7215R,"Chiffon - Refill",simple
C-ES7216R,"Creamy Kiss - Refill",simple
C-ES7217R,"Khaki Bronze - Refill",simple
C-ES7218R,"Baby Face - Refill",simple
C-ES7219R,"Bamboo - Refill",simple
C-ES7220R,"Crystal Pink - Refill",simple
C-ES7221R,"Blunt - Refill",simple
C-ES7222R,"Vintage Gold - Refill",simple
C-ES7223R,"Misty Pink - Refill",simple
C-ES7224R,"Pink Crush - Refill",simple
C-ES7225R,"Irish Green - Refill",simple
C-ES7226R,"Heaven - Refill",simple
C-ES7227R,"Brown - Refill",simple
C-ES7228R,"Amber - Refill",simple
C-ES7229R,"Slate - Refill",simple
C-ES7230R,"Poppy - Refill",simple
C-ES7232R,"Dark Mocha Refill",simple
C-ES7233R,"Medium Roast - Refill",simple
C-ES7234R,"Black Out - Refill",simple
C-ES7235R,"Straw Yellow - Refill",simple
C-ES7236R,"Goldilocks - Refill",simple
C-ES7237R,"Celestial Beige - Refill",simple
C-ES7238R,"Sand Castle - Refill",simple
C-ES7239R,"Omega - Refill",simple
C-ES7240R,"Amber Brown - Refill",simple
C-ES7241R,"Latte - Refill",simple
C-ES7242R,"Bake Sale - Refill",simple
C-ES7243R,"Steel - Refill",simple
C-ES7244R,"Fairy Princess with Glitter - Refill",simple
C-ES7245R,"Crystal Vallina with Glitter - Refill",simple
C-ES7246R,"Steel Metallic With Glitter - Refill",simple
C-ES7247R,"Celestial Blue - Refill",simple
C-ES7248R,"Love Song - Refill",simple
C-ES7249R,"Coffee Break - Refill",simple
C-ES7250R,"Misty Green - Refill",simple
C-ES7251R,"Deep Violet - Refill",simple
C-ES7252R,"Star Violet With Glitter - Refill",simple
C-ES7254R,"Toast - Refill",simple
C-ES7255R,"Starry Night With Glitter - Refill",simple
C-ES7257R,"Mildew - Refill",simple
C-ES7258R,"Bordello - Refill",simple
C-ES7259R,"Loaded - Refill",simple
C-ES7260R,"Smog - Refill",simple
C-ES7261R,"Golden Rod - Refill",simple
C-ES7262R,"Turquoise - Refill",simple
C-ES7263R,"After Noon Delight - Refill",simple
C-ES7264R,"Kush - Refill",simple
C-ES7267R,"Desert Rose - Refill",simple
C-ES7268R,"Sailor Kiss - Refill",simple
C-ES7269R,"Paradise Sky - Refill",simple
C-ES7270R,"Creamy Green - Refill",simple
C-ES7271R,"Grass - Refill",simple
C-ES7272R,"Teal Blue - Refill",simple
C-ES7273R,"Fusain - Refill",simple
C-ES7274R,"Purple Rain - Refill",simple
C-ES7276R,"Salmon - Refill",simple
C-ES7277R,"Espresso Refill",simple
C-ES7278R,"Deep Teal - Refill",simple
C-ES7279R,"Deep Truth - Refill",simple
C-ES7280R,"Sea Blue - Refill",simple
C-ES7281R,"Opulence - Refill",simple
C-ES7282R,"Oceana - Refill",simple
C-ES7303R,"Irish - Refill",simple
C-ES7309R,"Barney - Refill",simple
C-ES7310R,"Brodie Brown - Refill",simple
C-ES7312R,"Brave - Refill",simple
C-ES7313R,"Beloved - Refill",simple
C-ES7314R,"Bella - Refill",simple
C-ES7315R,"Beyond - Refill",simple
C-ES7316R,"Star Light - Refill",simple
C-ES7317R,"Sky - Refill",simple
C-ES7318R,"Burnt orange - Refill",simple
C-ES7319R,"Allure - Refill",simple
C-ES7320R,"Shadow Lady - Refill",simple
eyeshadow_compact_color,"Eye Shadow Compact",configurable
C-ES7001C,"Matte White - Compact (M)",simple
C-ES7002C,"Tin Man - Pearl - Compact (P)",simple
C-ES7011C,"Taupe - Pearl - Compact",simple
C-ES7013C,"Teakwood - Frost - Compact",simple
C-ES7015C,"Portobello - Matte - Compact",simple
C-ES7021C,"Glimmer - Pearl - Compact",simple
C-ES7023C,"Mahogany - Matte - Compact",simple
C-ES7025C,"Au de Natural - Matte - Compact",simple
C-ES7029C,"Sienna - Matte - Compact",simple
C-ES7030C,"Cool Sand - Pearl - Compact",simple
C-ES7033C,"Coyote - Pearl - Compact",simple
C-ES7034C,"Brown - Pearl - Compact",simple
C-ES7036C,"Vanilla Matte - Compact",simple
C-ES7038C,"Gold Pearl - Pearl - Compact",simple
C-ES7040C,"Gold - Pearl - Compact",simple
C-ES7041C,"Canary Yellow - Matte - Compact",simple
C-ES7042C,"Mango - Matte - Compact",simple
C-ES7043C,"Sunny Orange - Pearl - Compact",simple
C-ES7044C,"Palest Peach - Pearl - Compact",simple
C-ES7045C,"Spring Peach - Matte - Compact",simple
C-ES7048C,"Silky Coral - Matte - Compact",simple
C-ES7050C,"Orange - Matte - Compact",simple
C-ES7051C,"Cranberry - Pearl - Compact",simple
C-ES7052C,"Sunset Rose - Matte - Compact",simple
C-ES7053C,"Passion - Matte - Compact",simple
C-ES7054C,"Hot Red - Matte - Compact",simple
C-ES7055C,"Rich Mahogany - Compact",simple
C-ES7058C,"Radical Pink - Compact",simple
C-ES7059C,"Deep Pink - Matte - Compact",simple
C-ES7061C,"Dubonnet - Matte - Compact",simple
C-ES7065C,"Pale Pink - Matte - Compact",simple
C-ES7068C,"Bittersweet Purple - Compact",simple
C-ES7069C,"Butterfly Orchid - Compact",simple
C-ES7070C,"Bellflower Purple Compact",simple
C-ES7071C,"Powder Purple - Compact",simple
C-ES7072C,"Purple Orchid - Compact",simple
C-ES7073C,"Smokey Purple - Compact",simple
C-ES7078C,"Deep French Blue - Compact",simple
C-ES7081C,"Ocean Blue - Compact",simple
C-ES7084C,"Vibrant Blue - Compact",simple
C-ES7088C,"Soft Aqua - Frost - Compact",simple
C-ES7089C,"Forest - Pearl - Compact",simple
C-ES7090C,"Parrot - Frost - Compact",simple
C-ES7091C,"Jade - Pearl - Compact",simple
C-ES7092C,"Emerald Fantasy - Compact",simple
C-ES7094C,"Satan Green - Compact",simple
C-ES7095C,"Ireland - Frost - Compact",simple
C-ES7096C,"Lemon - Matte - Compact",simple
C-ES7099C,"Sage - Matte - Compact",simple
C-ES7101C,"Dove - Matte - Compact",simple
C-ES7103C,"Regal Matte - Compact",simple
C-ES7201C,"White Frost - Compact",simple
C-ES7202C,"Graphite - Pearl - Compact",simple
C-ES7203C,"Virgin - Compact",simple
C-ES7204C,"Butter Cup - Compact",simple
C-ES7205C,"Atlantis Blue - Compact",simple
C-ES7206C,"Midnight Blue - Compact",simple
C-ES7207C,"Day Light - Compact",simple
C-ES7208C,"Slab - Matte - Compact",simple
C-ES7209C,"Chocolate Satin - Compact",simple
C-ES7211C,"Gold Nugget - Compact",simple
C-ES7212C,"Rose Gold - Compact",simple
C-ES7213C,"Cognac - Compact",simple
C-ES7214C,"Half Baked - Compact",simple
C-ES7215C,"Chiffon - Compact",simple
C-ES7216C,"Creamy Kiss - Compact",simple
C-ES7217C,"Khaki Bronze - Compact",simple
C-ES7218C,"Baby Face - Compact",simple
C-ES7219C,"Bamboo - Compact",simple
C-ES7220C,"Crystal Pink - Compact",simple
C-ES7221C,"Blunt - Compact",simple
C-ES7222C,"Vintage Gold - Compact",simple
C-ES7223C,"Misty Pink - Compact",simple
C-ES7224C,"Pink Crush - Compact",simple
C-ES7225C,"Irish Green - Compact",simple
C-ES7226C,"Heaven - Compact",simple
C-ES7227C,"Brown - Compact",simple
C-ES7228C,"Amber - Compact",simple
C-ES7229C,"Slate - Compact",simple
C-ES7230C,"Poppy - Compact",simple
C-ES7232C,"Dark Mocha Compact",simple
C-ES7233C,"Medium Roast - Compact",simple
C-ES7234C,"Black Out - Compact",simple
C-ES7235C,"Straw Yellow - Compact",simple
C-ES7236C,"Goldilocks - Compact",simple
C-ES7237C,"Celestial Beige - Compact",simple
C-ES7238C,"Sand Castle - Compact",simple
C-ES7239C,"Omega - Compact",simple
C-ES7240C,"Amber Brown - Compact",simple
C-ES7241C,"Latte - Compact",simple
C-ES7242C,"Bake Sale - Compact",simple
C-ES7243C,"Steel - Compact",simple
C-ES7244C,"Fairy Princess with Glitter - Compact",simple
C-ES7245C,"Crystal Vallina with Glitter - Compact",simple
C-ES7246C,"Steel Metallic With Glitter - Compact",simple
C-ES7247C,"Celestial Blue - Compact",simple
C-ES7248C,"Love Song - Compact",simple
C-ES7249C,"Coffee Break - Compact",simple
C-ES7250C,"Misty Green - Compact",simple
C-ES7251C,"Deep Violet - Compact",simple
C-ES7252C,"Star Violet With Glitter - Compact",simple
C-ES7254C,"Toast - Compact",simple
C-ES7255C,"Starry Night With Glitter - Compact",simple
C-ES7257C,"Mildew - Compact",simple
C-ES7258C,"Bordello - Compact",simple
C-ES7259C,"Loaded - Compact",simple
C-ES7260C,"Smog - Compact",simple
C-ES7261C,"Golden Rod - Compact",simple
C-ES7262C,"Turquoise - Compact",simple
C-ES7263C,"After Noon Delight - Compact",simple
C-ES7264C,"Kush - Compact",simple
C-ES7267C,"Desert Rose - Compact",simple
C-ES7268C,"Sailor Kiss - Compact",simple
C-ES7269C,"Paradise Sky - Compact",simple
C-ES7270C,"Creamy Green - Compact",simple
C-ES7271C,"Grass - Compact",simple
C-ES7272C,"Teal Blue - Compact",simple
C-ES7273C,"Fusain - Compact",simple
C-ES7274C,"Purple Rain - Compact",simple
C-ES7276C,"Salmon - Compact",simple
C-ES7277C,"Espresso Compact",simple
C-ES7278C,"Deep Teal - Compact",simple
C-ES7279C,"Deep Truth - Compact",simple
C-ES7280C,"Sea Blue - Compact",simple
C-ES7281C,"Opulence - Compact",simple
C-ES7282C,"Oceana - Compact",simple
C-ES7303C,"Irish - Compact",simple
C-ES7309C,"Barney - Compact",simple
C-ES7310C,"Brodie Brown - Compact",simple
C-ES7312C,"Brave - Compact",simple
C-ES7313C,"Beloved - Compact",simple
C-ES7314C,"Bella - Compact",simple
C-ES7315C,"Beyond - Compact",simple
C-ES7316C,"Star Light - Compact",simple
C-ES7317C,"Sky - Compact",simple
C-ES7318C,"Burnt orange - Compact",simple
C-ES7319C,"Allure - Compact",simple
C-ES7320C,"Shadow Lady - Compact",simple
Galactic_Gloss,"Galactic Gloss",configurable
C-GG152,Zodiac,simple
C-GG153,Neptune,simple
C-GG154,Luna,simple
C-GG155,SpaceSuit,simple
C-GG156,Solar,simple
C-GG157,Venus,simple
C-GG158,Earth,simple
C-GG159,OuterSpace,simple
C-GG160,Pluto,simple
Gel-Eyeliner,"Gel Eyeliner",configurable
C-GEBR,"EG1001 Gel Eyeliner Brown",simple
C-GEDB,"EG1006 Gel Eyeliner - Dark Brown",simple
C-GEEP,"EG1002 Gel Eyeliner Egg Plant",simple
C-GEES,"EG1004 Gel Eyeliner Espresso",simple
C-GEN,"EG1003 Gel Eyeliner Navy",simple
C-GETB,"EG6092 Gel Eyeliner True Black",simple
C-GEW,"EG1005 Gel Eyeliner  white",simple
glitterdust_color,"Glitter Dust - Standard Packaging",configurable
"C-GL10-GLSTND P","GL10 Glitter Dust Silver - Standard Packaging",simple
"C-GL12-GLSTND P","GL12 Glitter Dust Copper - Standard Packaging",simple
"C-GL14-GLSTND P","GL14 Glitter Dust Ruby Red - Standard Packaging",simple
"C-GL15-GLSTND P","GL15 Glitter Dust Galaxy - Standard Packaging",simple
"C-GL16-GLSTND P","GL16 Glitter Dust Lava - Standard Packaging",simple
"C-GL17-GLSTND P","GL17 Glitter Dust Pinky - Standard Packaging",simple
"C-GL18-GLSTND P","GL18 Glitter Dust Rusty Gold - Standard Packaging",simple
"C-GL19-GLSTND P","GL19Glitter Dust Ocean Blue - Standard Packaging",simple
"C-GL5-GLSTND P","GL5 Glitter Dust Opal - Standard Packaging",simple
"C-GL6-GLSTND P","GL6 Glitter 24k - Standard Packaging",simple
"C-GL8-GLSTND P","GL8 Glitter Dust Aqumarine - Standard Packaging",simple
"C-GL9-GLSTND P","GL9 Glitter Dust Amethyst - Standard Packaging",simple
HDC_Foundation,"HDC Foundation",configurable
C-HDC400,"HDC Extra Light Porcelain",simple
C-HDC401,"HDC Light Porcelain",simple
C-HDC402,"HDC Porcelain",simple
C-HDC403,"HDC Medium Beige",simple
C-HDC404,"HDC Dark Tan",simple
C-HDC405,"HDC Mocha",simple
C-HDC406,"HDC Ebony",simple
C-HDC407,"HDC Caramel",simple
C-HDC408,"HDC Coffee Bean",simple
C-HDC409,"HDC Amber",simple
C-HDC410,"HDC Congac",simple
C-HDC411,"HDC Medium Light Porcelain",simple
C-HDC412,"HDC Medium Porcelian",simple
C-HDC450,"HDC Light Ivory",simple
C-HDC451,"HDC Ivory",simple
C-HDC452,"HDC Medium Ivory",simple
C-HDC453,"HDC Medium Tan",simple
C-HDC454,"HDC Tan",simple
C-HDC455,"HDC Almond",simple
C-HDC456,"HDC Golden Honey",simple
C-HDC457,"HDC Honey Chesnut",simple
HDC_Refill,"HD Cream Foundation Refill",configurable
C-HDC400R,"HDC Foundation 10g Refill - 400 Extra Light Porcelain",simple
C-HDC401R,"HDC Foundation 10g Refill - 401 Light Porcelai",simple
C-HDC402R,"HDC Foundation 10g Refill - 402 Porcelian 10g",simple
C-HDC403R,"HDC Foundation 10g Refill  - 403 Medium Beige10g",simple
C-HDC404R,"HDC Foundation 10g Refill  - 404  Dark Tan",simple
